X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
7.89990000000006,6.72975000000002,1,Arkard Farms Benue, ,6.72975,7.8999,0-20 cm,1,6.7,0.163062,1.719164,2.71696,431.3064,46.22952,68.582573,16.43488,18.268112,7.00083,57.44197,150.795478
7.89990000000006,6.72975000000002,2,Arkard Farms Benue, ,6.72975,7.8999,20-40 cm,2,6.5,0.129705,1.492299,2.14004,431.3064,125.91936,46.749524,19.34852,9.118514,5.824685,46.523132,64.705912
7.90175000000005,6.72823000000005,3,Arkard Farms Benue, ,6.72823,7.90175,0-20 cm,1,6.4,0.111113,1.353652,1.2426,1007.1446,230.90772,46.749524,20.02334,13.693313,4.64854,70.156151,150.795478
7.90175000000005,6.72823000000005,4,Arkard Farms Benue, ,6.72823,7.90175,20-40 cm,2,6.6,0.136769,1.676039,1.87508,887.1782,222.05328,24.916084,20.17675,27.417709,4.64854,62.481434,86.228303
7.90176000000002,6.72687000000008,5,Arkard Farms Benue, ,6.72687,7.90176,0-20 cm,1,6.7,0.141414,1.430896,2.6144,1762.932,347.28024,46.749524,20.02334,9.118514,5.824685,46.73311,193.840261
7.90176000000002,6.72687000000008,6,Arkard Farms Benue, ,6.72687,7.90176,20-40 cm,2,6.9,0.12059,1.564003,1.87508,1984.8696,405.04488,68.582573,18.91957,18.268112,5.824685,81.242971,126.240971
7.90328000000005,6.72693000000004,7,Arkard Farms Benue, ,6.72693,7.90328,0-20 cm,1,6.8,0.088211,1.144391,1.40072,1738.9388,310.59756,46.749524,20.17675,27.417709,4.64854,58.071903,129.273086
7.90328000000005,6.72693000000004,8,Arkard Farms Benue, ,6.72693,7.90328,20-40 cm,2,6.8,0.131229,1.139841,1.87508,479.293,87.97188,68.582573,19.34852,13.693313,4.64854,47.782998,150.795478
7.90226000000007,6.72498000000007,9,Arkard Farms Benue, ,6.72498,7.90226,0-20 cm,1,5.6,0.107975,0.952224,6.25116,335.3334,61.40856,90.416013,20.17675,9.118514,3.472395,40.591297,150.795478
7.90226000000007,6.72498000000007,10,Arkard Farms Benue, ,6.72498,7.90226,20-40 cm,2,5.1,0.089515,0.883948,1.71696,707.2288,149.95284,68.582573,19.34852,18.268112,4.64854,99.857456,107.750695
